   -0.268847520947456342E+01    0.234022657871246320E+00    0.201541113853454579E+00   -0.192867668628692623E+01    0.148481404781341531E+00    0.389904391765594494E+00    0.352470616633758393E+00   -0.164754709652073034E+05   -0.693147164665378401E+01    1
   -0.281843440532684308E+01    0.184592214226722728E+00    0.265416651964187622E+00   -0.197012975990772254E+01    0.405154252052307151E-01    0.398481369018554688E+00    0.322562761181696744E+00   -0.150390301269847951E+05   -0.693244820915376536E+01    1
   -0.270053761601448050E+01    0.149952468276023876E+00    0.269934841990470908E+00   -0.199628703594207768E+01    0.556647777557373047E-01    0.399585747718811057E+00    0.408688634942495077E+00   -0.138873336042031679E+05   -0.693342477165374582E+01    1
   -0.276784934997558585E+01    0.126476600766181946E+00    0.202150788903236373E+00   -0.195001458525657645E+01    0.968202495574951166E-01    0.399047493934631348E+00    0.332223650996838760E+00   -0.122162825626454487E+05   -0.693440133415372451E+01    1
   -0.295181918144226074E+01    0.172723336815834044E+00    0.150298815965652449E+00   -0.181642588317394260E+01    0.134912445545196547E+00    0.396277904510498047E+00    0.373253904889195187E+00   -0.108005764874696288E+05   -0.693537789665375648E+01    1
   -0.290195187926292419E+01    0.207153754234313980E+00    0.278803047537803605E+00   -0.185385199189186101E+01    0.657249999046325695E-01    0.393254816532135010E+00    0.352312074158694699E+00   -0.103533328934395449E+05   -0.693635445915377691E+01    1
   -0.232762001752853376E+01    0.225503277182579037E+00    0.216922205686569225E+00   -0.197600136399269100E+01    0.823690724372863753E-01    0.386747205257415794E+00    0.436507904966090765E+00   -0.923194944482195024E+04   -0.693733102165377868E+01    1
   -0.277429122924804705E+01    0.207075369358062755E+00    0.155001363158226019E+00   -0.196867844879627230E+01    0.542448878288269015E-01    0.378089380264282238E+00    0.431212038182294921E+00   -0.904472301014082950E+04   -0.693830758415374582E+01    1
   -0.269371388554573077E+01    0.231941847801208495E+00    0.251585313677787803E+00   -0.179153830587863916E+01    0.132151722908020020E+00    0.389093911647796664E+00    0.469995203812263007E+00   -0.886318515088949061E+04   -0.693928414665371829E+01    1
   -0.224049029946327227E+01    0.249650754928588875E+00    0.196976521611213679E+00   -0.164725299894809729E+01    0.122797608375549316E+00    0.399949085712432872E+00    0.394561815950793926E+00   -0.725591088511369981E+04   -0.694026070915372717E+01    1
   -0.202527461051940927E+01    0.199925616383552551E+00    0.261225512623786904E+00   -0.196917432665824887E+01    0.987483072280883750E-01    0.392515385150909446E+00    0.364403771682605071E+00   -0.684328210057733395E+04   -0.694123727165374049E+01    1
   -0.281206722259521502E+01    0.223275088667869548E+00    0.228297740221023560E+00   -0.188822271227836613E+01    0.104395079612731936E+00    0.372200071811676025E+00    0.336979365395645325E+00   -0.644472249474406544E+04   -0.694221383415371740E+01    1
   -0.212669143676757821E+01    0.144714660048484794E+00    0.257498091459274270E+00   -0.195930235445499412E+01    0.139988880157470685E+00    0.393772149085998557E+00    0.351487746446051408E+00   -0.634184478536711777E+04   -0.694319039665372273E+01    1
   -0.265137915611267072E+01    0.177345255017280573E+00    0.192671728134155257E+00   -0.184815703809261311E+01    0.143986880779266357E+00    0.383490788936615035E+00    0.299805033083926253E+00   -0.610461255021850866E+04   -0.694416695915375470E+01    1
   -0.243025368452072144E+01    0.249507142305374158E+00    0.218487292528152466E+00   -0.159690859377384187E+01    0.147985131740570069E+00    0.387363910675048828E+00    0.419525491916834081E+00   -0.596406467844306462E+04   -0.694514352165374316E+01    1
   -0.288363108038902283E+01    0.238392320275306713E+00    0.286974737048149131E+00   -0.171166577994823466E+01    0.784957909584045321E-01    0.381713783740997348E+00    0.337373435296450364E+00   -0.583524920558929716E+04   -0.694612008415372184E+01    1
